user,white_games,black_games,total_games,wins_white,wins_black,wins_total,draw_white,draw_black,draw_total,lose_white,lose_black,lose_total,elo,accuracy,accuracy_opening,accuracy_middlegame,accuracy_endgame,win_rate,OpenAcc-meanAcc,MiddleAcc-meanAcc,EndAcc-meanAcc,OpenAcc-meanOpenAcc,MiddleAcc-meanMiddleAcc,EndAcc-meanEndAcc
Hafez_Bakr,15,18,33,3.0,3.0,6.0,0.0,0.0,0.0,12.0,15.0,27.0,1799.909090909091,86.12016327052707,93.77277491673941,89.88257357433393,91.6952332256572,0.18181818181818182,7.6526116462123355,3.7624103038068597,5.575069955130132,-1.13994999852072,-0.932268501765023,0.2579979300699904
Gevorg_Harutjunyan,18,14,32,10.0,7.0,17.0,1.0,4.0,5.0,7.0,3.0,10.0,2490.90625,89.11702409682754,94.77220585248328,92.93225667344208,94.13152534199553,0.53125,5.655181755655747,3.815232576614548,5.014501245167992,-0.14051906277684623,2.117414597343128,2.6942900464083124
wonderfultime,17,15,32,10.0,9.0,19.0,2.0,3.0,5.0,5.0,3.0,8.0,2535.03125,87.54381512506903,95.95384462708036,91.56409555298306,91.70901400981856,0.59375,8.410029502011326,4.020280427914031,4.165198884749529,1.0411197118202296,0.7492534768841068,0.2717787142313455
AUSSIE_PINOY,16,16,32,5.0,6.0,11.0,2.0,1.0,3.0,9.0,9.0,18.0,2270.46875,83.62301905951159,92.38487097037617,88.26679193374339,89.95459146837644,0.34375,8.761851910864578,4.6437728742318,6.331572408864844,-2.527853944883958,-2.5480501423555637,-1.4826438272107794
rhungaski,17,15,32,9.0,7.0,16.0,4.0,2.0,6.0,4.0,6.0,10.0,2411.65625,88.18953843094889,95.73511902067358,91.08623122731782,93.22963374553052,0.5,7.545580589724693,2.8966927963689386,5.0400953145816345,0.8223941054134514,0.27138915121886953,1.792398449943306
Tilicheev_Viacheslav,15,17,32,10.0,7.0,17.0,3.0,4.0,7.0,2.0,6.0,8.0,2486.78125,88.25995778727813,95.02246178390475,92.06145351625804,92.8327776074086,0.53125,6.76250399662662,3.8014957289799156,4.572819820130476,0.1097368686446174,1.2466114401590858,1.3955423118213872
bugsbunny444,16,16,32,7.0,7.0,14.0,3.0,1.0,4.0,6.0,8.0,14.0,2292.875,87.1522206603925,95.02706404800193,90.94005586366356,91.86158313495956,0.4375,7.874843387609431,3.787835203271058,4.709362474567058,0.1143391327418044,0.12521378756460422,0.424347839372345
IMRosen,15,17,32,9.0,6.0,15.0,2.0,2.0,4.0,4.0,9.0,13.0,2046.25,86.15858505399709,95.23641547405053,90.89182860872292,92.06840691143556,0.46875,9.077830420053445,4.733243554725831,5.909821857438473,0.3236905587904033,0.07698653262396249,0.6311716158483449
stepanosinovsky,16,16,32,9.0,4.0,13.0,0.0,0.0,0.0,4.0,12.0,16.0,2263.1875,87.57271308796017,94.41666814171035,92.05609280640427,91.28504778116293,0.40625,6.843955053750179,4.483379718444098,3.712334693202763,-0.49605677354978184,1.2412507303053104,-0.15218751442428413
LADIESGET2KNOWME,17,15,32,7.0,6.0,13.0,2.0,3.0,5.0,8.0,6.0,14.0,2269.625,86.2641975218208,93.45103880954962,89.91995863008812,93.20864323038728,0.40625,7.186841287728811,3.6557611082673134,6.944445708566477,-1.4616861057105126,-0.8948834460108372,1.7714079348000666
