user,white_games,black_games,total_games,wins_white,wins_black,wins_total,draw_white,draw_black,draw_total,lose_white,lose_black,lose_total,elo,accuracy,accuracy_opening,accuracy_middlegame,accuracy_endgame,win_rate,opening_distance,middlegame_distance,endgame_distance,opening_distance_alt,middlegame_distance_alt,endgame_distance_alt
GMHess,17,14,31,12.0,6.0,18.0,0.0,0.0,0.0,5.0,4.0,9.0,2457.8709677419356,89.17640472529332,95.09071260366456,93.08075470998044,93.31394847534396,0.5806451612903226,5.914307878371233,3.9043499846871157,4.137543750050639,0.05080685807297414,2.141155956463635,1.7963163498099988
alturas_pacificas,14,16,30,6.0,4.0,10.0,0.0,0.0,0.0,8.0,11.0,19.0,2071.3,86.28372553201648,94.69982170925266,89.32005073195043,91.93944577340149,0.3333333333333333,8.416096177236184,3.0363251999339553,5.655720241385012,-0.34008403633892215,-1.6195480215663736,0.4218136478675234
VovAn1991,16,14,30,9.0,10.0,19.0,0.0,0.0,0.0,5.0,4.0,9.0,2398.8,89.63007535869973,95.39152659573615,92.30901257718949,92.94359925906757,0.6333333333333333,5.761451237036425,2.6789372184897644,3.3135239003678407,0.35162085014457034,1.3694138236726872,1.4259671335336037
PauloCesarCosta,14,16,30,3.0,2.0,5.0,2.0,3.0,5.0,9.0,11.0,20.0,2053.8,84.64966037504892,95.33096028120553,90.15007643570321,89.53838627544698,0.16666666666666666,10.68129990615661,5.500416060654288,4.888725900398057,0.2910545356139522,-0.7895223178135922,-1.9792458500869827
megarompa,15,14,29,9.0,9.0,18.0,3.0,3.0,6.0,3.0,2.0,5.0,2595.551724137931,90.84503085516326,95.66316680667956,93.64819168734992,94.30711392192588,0.6206896551724138,4.818135951516297,2.803160832186663,3.4620830667626166,0.6232610610879732,2.708592933833117,2.789481796391911
WanderingPuppet,12,16,28,3.0,3.0,6.0,0.0,0.0,0.0,7.0,13.0,20.0,2061.035714285714,79.40757434241661,94.52978914851609,87.96050428195494,87.05281838582357,0.21428571428571427,15.122214806099478,8.55292993953833,7.6452440434069615,-0.5101165970754948,-2.979094471561865,-4.464813739710394
Nouki,15,12,27,9.0,5.0,14.0,3.0,4.0,7.0,3.0,3.0,6.0,2627.740740740741,89.39546627479405,96.3722463691088,93.49810483081899,93.21069939120552,0.5185185185185185,6.976780094314748,4.102638556024942,3.815233116411477,1.3323406235172115,2.5585060773021837,1.6930672656715586
AlmirDzhumaev,13,13,26,7.0,4.0,11.0,0.0,0.0,0.0,6.0,8.0,14.0,2180.3846153846152,84.29540660195747,93.73970598885604,90.86968124332277,91.66044646091123,0.4230769230769231,9.444299386898578,6.574274641365307,7.3650398589537645,-1.3001997567355374,-0.06991751019403125,0.14281433537726684
AlexanderL,13,12,25,7.0,9.0,16.0,0.0,0.0,0.0,6.0,2.0,8.0,2484.48,90.3366504413447,95.34849864389102,92.16169701627112,94.40234051044222,0.64,5.011848202546318,1.825046574926418,4.0656900690975135,0.3085928982994375,1.222098262754315,2.884708384908251
lorcho,12,13,25,5.0,5.0,10.0,1.0,2.0,3.0,6.0,6.0,12.0,2412.28,86.48241948675332,94.45499813337699,89.66351096726552,92.97356551067702,0.4,7.972578646623674,3.181091480512208,6.491146023923704,-0.5849076122145931,-1.2760877862512814,1.4559333851430551
pedromartinez91,12,13,25,9.0,5.0,14.0,1.0,2.0,3.0,2.0,6.0,8.0,2123.84,84.91365299727894,94.2097957928268,90.98916582708087,90.5464149176924,0.56,9.296142795547851,6.075512829801923,5.632761920413458,-0.8301099527647864,0.04956707356406298,-0.971217207841562
DanielNaroditsky,12,13,25,9.0,9.0,18.0,0.0,0.0,0.0,2.0,4.0,6.0,2557.2,90.75750952844255,96.15944512805747,92.1816056976438,93.8596046011166,0.72,5.401935599614916,1.424096169201249,3.1020950726740466,1.119539382465888,1.2420069441269987,2.3419724755826365
zmaj23,11,13,24,5.0,4.0,9.0,1.0,3.0,4.0,5.0,6.0,11.0,2224.2083333333335,89.33438612186087,94.6761850420131,92.03129008311176,93.77091603600087,0.375,5.341798920152229,2.6969039612508823,4.436529914139996,-0.36372070357847974,1.0916913295949513,2.253283910466905
David_Klein,13,11,24,9.0,4.0,13.0,1.0,1.0,2.0,3.0,6.0,9.0,2359.4166666666665,88.81236070831716,94.20967360190627,92.37025666691694,94.5465552101478,0.5416666666666666,5.397312893589117,3.5578959585997865,5.734194501830643,-0.8302321436853077,1.4306579134001396,3.0289230846138366
FlySooHigh,13,10,23,8.0,3.0,11.0,1.0,4.0,5.0,4.0,3.0,7.0,2357.391304347826,87.72329641162155,95.6194834468709,89.65534265068094,93.92496654884116,0.4782608695652174,7.896187035249355,1.9320462390593889,6.201670137219608,0.5795777012793195,-1.2842561028358688,2.4073344233071907
Carolina-moon,12,11,23,0.0,0.0,0.0,1.0,3.0,4.0,8.0,8.0,16.0,1949.3478260869565,79.82937121912006,94.4084163471278,86.53549605732829,88.15304347630013,0.0,14.579045128007735,6.7061248382082255,8.323672257180064,-0.6314893984637848,-4.404102696188517,-3.3645886492338377
vovkcoach,13,10,23,7.0,6.0,13.0,0.0,0.0,0.0,6.0,4.0,10.0,2486.8260869565215,87.09165614517998,96.20516432817936,90.86044767622866,90.54603311714295,0.5652173913043478,9.113508182999382,3.7687915310486773,3.454376971962972,1.1652585825877821,-0.07915107728814519,-0.97159900839101
